IT capacity (MW),Water-intensity scenario,Water intensity (L/kWh),Modeled water demand (MGD),Modeled annual water demand (MG/year),Modeled annual water demand (BG/year),water_system_id,water_system,treatment_capacity_mgd,capacity_status,pct_treatment_capacity
750,Low water,0.2,0.9510195,347.1221175,0.3471221175,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,23.7754875
750,Low water,0.2,0.9510195,347.1221175,0.3471221175,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,2.1614079545454548
750,Moderate water,0.4,1.902039,694.244235,0.694244235,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.35222944444444443
750,Moderate water,0.4,1.902039,694.244235,0.694244235,AKR_WATER,City of Akron Water Supply,67.0,available,2.838864179104478
750,Moderate water,0.4,1.902039,694.244235,0.694244235,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,3.1700650000000006
750,Moderate water,0.4,1.902039,694.244235,0.694244235,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
750,Moderate water,0.4,1.902039,694.244235,0.694244235,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,21.133766666666666
750,Moderate water,0.4,1.902039,694.244235,0.694244235,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,47.550975
750,Moderate water,0.4,1.902039,694.244235,0.694244235,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,4.3228159090909095
750,Water-intensive cooling,1.5,7.1326462500000005,2603.41588125,2.60341588125,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,1.3208604166666666
750,Water-intensive cooling,1.5,7.1326462500000005,2603.41588125,2.60341588125,AKR_WATER,City of Akron Water Supply,67.0,available,10.645740671641791
750,Water-intensive cooling,1.5,7.1326462500000005,2603.41588125,2.60341588125,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,11.88774375
750,Water-intensive cooling,1.5,7.1326462500000005,2603.41588125,2.60341588125,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
750,Water-intensive cooling,1.5,7.1326462500000005,2603.41588125,2.60341588125,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,79.251625
750,Water-intensive cooling,1.5,7.1326462500000005,2603.41588125,2.60341588125,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,178.31615625
750,Water-intensive cooling,1.5,7.1326462500000005,2603.41588125,2.60341588125,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,16.210559659090908
